,day,campaign,source,medium,channelGrouping,dimension4,hostname,landingPagePath,fullReferrer,goal1Completions,goal2Completions,goal3Completions,goal4Completions,goal5Completions,goal6Completions,goalCompletionsAll
68,2023-01-31,(not set),google,organic,Organic Search,GA1.1.434788742.1646762669,www.vitaldent.com,clinicas.vitaldent.com/cantabria/vitaldent-santander-iv-358,google,0,0,1,0,0,0,1
69,2023-01-31,(not set),google,organic,Organic Search,GA1.1.516538594.1675177455,www.vitaldent.com,www.vitaldent.com/blog/dolor-muela-del-juicio-tratamiento/,google,0,0,1,0,0,0,1
70,2023-01-31,(not set),google,organic,Organic Search,GA1.1.562685712.1673265006,www.vitaldent.com,clinicas.vitaldent.com/sevilla/vitaldent-sevilla-i-190,google,0,0,1,0,0,0,1
71,2023-01-31,(not set),google,organic,Organic Search,GA1.1.60168472.1674747088,www.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
72,2023-01-31,(not set),google,organic,Organic Search,GA1.1.687541767.1675183543,clinicas.vitaldent.com,clinicas.vitaldent.com/huelva/vitaldent-huelva-alcalde-federico-molina-270,google,0,1,0,0,0,0,1
73,2023-01-31,(not set),google,organic,Organic Search,GA1.1.724302609.1673564163,www.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
74,2023-01-31,(not set),google,organic,Organic Search,GA1.1.729365679.1670541699,www.vitaldent.com,clinicas.vitaldent.com/las-palmas/vitaldent-telde-ii-338,google,0,0,1,0,0,0,1
75,2023-01-31,(not set),google,organic,Organic Search,GA1.1.754659211.1668634980,www.vitaldent.com,www.vitaldent.com/blog/cuanto-cuesta-una-ortodoncia/,google,0,0,1,0,0,0,1
76,2023-01-31,(not set),google,organic,Organic Search,GA1.1.754659211.1668634980,www.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
77,2023-01-31,(not set),google,organic,Organic Search,GA1.1.77504597.1675195439,www.vitaldent.com,clinicas.vitaldent.com/barcelona,google,0,0,1,0,0,0,1
78,2023-01-31,(not set),google,organic,Organic Search,GA1.1.902651148.1675165056,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
79,2023-01-31,(not set),google,organic,Organic Search,GA1.1.98085998.1670191404,clinicas.vitaldent.com,www.vitaldent.com/es/implantes-dentales-unitarios/,google,0,0,1,0,0,0,1
80,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1058926500.1675166720,clinicas.vitaldent.com,clinicas.vitaldent.com/,google,0,1,1,0,0,0,2
81,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1124363954.1675170448,clinicas.vitaldent.com,www.vitaldent.com/blog/limpieza-dental-con-ultrasonido-como-realiza/,google,0,1,0,0,0,0,1
82,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1130034921.1675190963,clinicas.vitaldent.com,clinicas.vitaldent.com/vizcaya/vitaldent-barakaldo-28,google,0,1,0,0,0,0,1
83,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1167943748.1675184419,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-paseo-extremadura-149,google,0,1,0,0,0,0,1
84,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1231125805.1675029921,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-alcorcon-mayor-328,google,0,1,0,0,0,0,1
85,2023-01-31,(not set),google,organic,Organic Search,GA1.2.126729927.1675148875,www.vitaldent.com,clinicas.vitaldent.com/madrid,google,0,0,1,0,0,0,1
86,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1282263202.1675178749,www.vitaldent.com,www.vitaldent.com/blog/fundas-dentales-problemas-que-se-pueden-presentar/,google,0,0,1,0,0,0,1
87,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1287894837.1675087196,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,1,0,0,0,0,1
88,2023-01-31,(not set),google,organic,Organic Search,GA1.2.131802054.1675186285,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-villaverde-ii-236,google,0,1,0,0,0,0,1
89,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1338053045.1671479984,clinicas.vitaldent.com,clinicas.vitaldent.com/vizcaya/vitaldent-getxo-350,google,0,1,0,0,0,0,1
90,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1340651489.1675115104,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
91,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1378218896.1644988461,clinicas.vitaldent.com,clinicas.vitaldent.com/tarragona,google,0,1,0,0,0,0,1
92,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1409640576.1675189730,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-clinica-dental-lopez-de-hoyos-269,google,0,1,0,0,0,0,1
93,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1410728438.1675201665,clinicas.vitaldent.com,clinicas.vitaldent.com/malaga/vitaldent-torremolinos-303,google,0,1,0,0,0,0,1
94,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1455122667.1675196803,clinicas.vitaldent.com,clinicas.vitaldent.com/murcia/vitaldent-alcantarilla-290,google,0,1,0,0,0,0,1
95,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1501222542.1675077963,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-san-sebastian-de-los-reyes-i-174,google,0,1,0,0,0,0,1
96,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1547709039.1673207528,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,1,0,0,0,0,1
97,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1588378419.1674740762,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-paseo-extremadura-149,google,0,2,1,0,0,0,3
98,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1613173600.1675181826,clinicas.vitaldent.com,clinicas.vitaldent.com/cadiz/vitaldent-la-linea-98,google,0,0,1,0,0,0,1
99,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1637593925.1675192395,www.vitaldent.com,www.vitaldent.com/blog/que-es-un-puente-dental-y-para-que-se-utiliza/,google,0,0,1,0,0,0,1
100,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1642601861.1675165417,www.vitaldent.com,www.vitaldent.com/es/trabaja-con-nosotros/,google,0,0,1,0,0,0,1
101,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1708340326.1675185146,clinicas.vitaldent.com,clinicas.vitaldent.com/las-palmas/vitaldent-las-palmas-330,google,0,1,0,0,0,0,1
102,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1759271312.1675176807,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-madrid-marcelo-usera-316,google,0,1,0,0,0,0,1
103,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1783720191.1675146119,clinicas.vitaldent.com,clinicas.vitaldent.com/gipuzkoa/vitaldent-eibar-348,google,0,1,0,0,0,0,1
104,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1786334694.1675149974,www.vitaldent.com,www.vitaldent.com/blog/cuanto-cuesta-una-ortodoncia/,google,0,0,1,0,0,0,1
105,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1830237757.1675185459,www.vitaldent.com,clinicas.vitaldent.com/sevilla/vitaldent-clinica-dental-montequinto-387,google,0,0,1,0,0,0,1
106,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1839607306.1675166302,clinicas.vitaldent.com,clinicas.vitaldent.com/la-coruna/vitaldent-a-coruna-vi-266,google,0,1,0,0,0,0,1
107,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1851620145.1675157758,www.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-san-jose-de-valderas-alcorcon-378,google,1,0,0,0,0,0,1
108,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1876655601.1675082097,clinicas.vitaldent.com,clinicas.vitaldent.com/girona/vitaldent-gerona-ii-77,google,0,1,1,0,0,0,2
109,2023-01-31,(not set),google,organic,Organic Search,GA1.2.187908904.1675148450,www.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
110,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1974870206.1668801481,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-general-ricardos-75,google,0,1,0,0,0,0,1
111,2023-01-31,(not set),google,organic,Organic Search,GA1.2.2001128005.1675173926,clinicas.vitaldent.com,clinicas.vitaldent.com/vizcaya/vitaldent-portugalete-355,google,0,1,1,0,0,0,2
112,2023-01-31,(not set),google,organic,Organic Search,GA1.2.2048414795.1675162265,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,1,0,0,0,0,1
113,2023-01-31,(not set),google,organic,Organic Search,GA1.2.210509779.1673948444,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
114,2023-01-31,(not set),google,organic,Organic Search,GA1.2.2145487376.1675185087,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,1,1,0,0,0,2
115,2023-01-31,(not set),google,organic,Organic Search,GA1.2.222949291.1667469667,clinicas.vitaldent.com,clinicas.vitaldent.com/valencia/vitaldent-clinica-dental-ontinyent-383,google,0,1,0,0,0,0,1
116,2023-01-31,(not set),google,organic,Organic Search,GA1.2.317980680.1659910545,clinicas.vitaldent.com,clinicas.vitaldent.com/gipuzkoa/vitaldent-san-sebastian-ii-176,google,0,1,0,0,0,0,1
117,2023-01-31,(not set),google,organic,Organic Search,GA1.2.331125242.1675186025,clinicas.vitaldent.com,www.vitaldent.com/blog/dientes-transparentes-que-son/,google,0,1,0,0,0,0,1
118,2023-01-31,(not set),google,organic,Organic Search,GA1.2.401935493.1675133491,www.vitaldent.com,www.vitaldent.com/blog/por-que-se-me-ve-el-tornillo-del-implante-dental/,google,0,0,1,0,0,0,1
119,2023-01-31,(not set),google,organic,Organic Search,GA1.2.587845932.1675181887,clinicas.vitaldent.com,clinicas.vitaldent.com/vizcaya/vitaldent-santurce-188,google,0,1,0,0,0,0,1
120,2023-01-31,(not set),google,organic,Organic Search,GA1.2.627110827.1670782993,clinicas.vitaldent.com,clinicas.vitaldent.com/,google,0,1,0,0,0,0,1
121,2023-01-31,(not set),google,organic,Organic Search,GA1.2.693583909.1675177154,clinicas.vitaldent.com,clinicas.vitaldent.com/murcia/vitaldent-lorca-114,google,0,0,1,0,0,0,1
122,2023-01-31,(not set),google,organic,Organic Search,GA1.2.723804649.1662046731,www.vitaldent.com,www.vitaldent.com/blog/blanqueamiento-dental-opiniones-y-consecuencias/,google,0,0,1,0,0,0,1
123,2023-01-31,(not set),google,organic,Organic Search,GA1.2.731375096.1675034819,www.vitaldent.com,www.vitaldent.com/blog/que-es-el-mucocele/,google,0,0,1,0,0,0,1
124,2023-01-31,(not set),google,organic,Organic Search,GA1.2.744059946.1675182396,www.vitaldent.com,www.vitaldent.com/es/quienes-somos/,google,0,0,1,0,0,0,1
125,2023-01-31,(not set),google,organic,Organic Search,GA1.2.746549437.1675178775,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-rivas-163,google,0,1,0,0,0,0,1
126,2023-01-31,(not set),google,organic,Organic Search,GA1.2.748011868.1675189887,www.vitaldent.com,www.vitaldent.com/es/trabaja-con-nosotros/,google,1,0,0,0,0,0,1
127,2023-01-31,(not set),google,organic,Organic Search,GA1.2.77177120.1675185851,www.vitaldent.com,www.vitaldent.com/blog/dientes-y-embarazo-efectos-del-embarazo-en-tu-dentadura/,google,0,0,1,0,0,0,1
128,2023-01-31,(not set),google,organic,Organic Search,GA1.2.771866349.1675159429,www.vitaldent.com,www.vitaldent.com/es/,google,1,0,0,0,0,0,1
129,2023-01-31,(not set),google,organic,Organic Search,GA1.2.795255331.1675153340,clinicas.vitaldent.com,clinicas.vitaldent.com/,google,0,1,0,0,0,0,1
130,2023-01-31,(not set),google,organic,Organic Search,GA1.2.889903904.1675187520,clinicas.vitaldent.com,clinicas.vitaldent.com/valencia/vitaldent-algemesi-13,google,0,1,0,0,0,0,1
131,2023-01-31,(not set),google,organic,Organic Search,GA1.2.96299881.1675196967,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,1,0,0,0,0,1
132,2023-01-31,(not set),google,organic,Organic Search,GA1.2.978933623.1675197391,clinicas.vitaldent.com,clinicas.vitaldent.com/gipuzkoa/vitaldent-irun-93,google,0,1,0,0,0,0,1
133,2023-01-31,(not set),google,organic,Organic Search,GA1.2.994587501.1664306275,www.vitaldent.com,clinicas.vitaldent.com/murcia/vitaldent-lorca-114,google,0,0,1,0,0,0,1
134,2023-01-31,(not set),google,organic,Organic Search,GA1.2.997908356.1675166196,www.vitaldent.com,www.vitaldent.com/blog/dolor-muela-del-juicio-tratamiento/,google,0,0,1,0,0,0,1
135,2023-01-31,(not set),google,organic,Organic Search,GA1.3.1403080210.1652775598,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-clinica-dental-san-bernardo-170,google,0,0,1,0,0,0,1
136,2023-01-31,(not set),google,organic,Organic Search,GA1.3.328322644.1637860704,clinicas.vitaldent.com,clinicas.vitaldent.com/,google,0,0,2,0,0,0,2
137,2023-01-31,(not set),google,organic,Organic Search,GA1.3.937814327.1636209900,clinicas.vitaldent.com,clinicas.vitaldent.com/islas-baleares/vitaldent-palma-de-mallorca-i-142,google,0,1,0,0,0,0,1
138,2023-01-31,(not set),jira.grupointermark.net,referral,Referral,GA1.1.940214760.1637841453,www.vitaldent.com,www.vitaldent.com/es/elige-vitaldent/beneficios-gratuitos-para-pacientes/,jira.grupointermark.net/,0,0,1,0,0,0,1
139,2023-01-31,(not set),l.facebook.com,referral,Social,GA1.1.263304239.1675200443,www.vitaldent.com,www.vitaldent.com/es/,l.facebook.com/,1,0,0,0,0,0,1
